ID,Object,Property,Value,Source,ObjectProperty,trustworthiness,oldtrustworthiness,Value_confidence
0.0,Object1,Property5,234041,Source1,Object1Property5,0.8,0.8,1.0
0.0,Object1,Property3,476627,Source1,Object1Property3,0.8,0.8,1.0
0.0,Object2,Property5,360789,Source1,Object2Property5,0.8,0.8,1.0
0.0,Object2,Property3,217264,Source1,Object2Property3,0.8,0.8,1.0
0.0,Object3,Property5,274376,Source1,Object3Property5,0.8,0.8,1.0
0.0,Object3,Property3,293465,Source1,Object3Property3,0.8,0.8,1.0
0.0,Object4,Property5,223567,Source1,Object4Property5,0.8,0.8,1.0
0.0,Object4,Property3,278921,Source1,Object4Property3,0.8,0.8,1.0
0.0,Object5,Property5,382661,Source1,Object5Property5,0.8,0.8,1.0
0.0,Object5,Property3,313049,Source1,Object5Property3,0.8,0.8,1.0
0.0,Object6,Property5,200963,Source1,Object6Property5,0.8,0.8,1.0
0.0,Object6,Property3,477023,Source1,Object6Property3,0.8,0.8,1.0
0.0,Object7,Property5,466115,Source1,Object7Property5,0.8,0.8,1.0
0.0,Object7,Property3,160372,Source1,Object7Property3,0.8,0.8,1.0
0.0,Object8,Property5,103934,Source1,Object8Property5,0.8,0.8,1.0
0.0,Object8,Property3,345722,Source1,Object8Property3,0.8,0.8,1.0
0.0,Object9,Property5,387265,Source1,Object9Property5,0.8,0.8,1.0
0.0,Object9,Property3,481191,Source1,Object9Property3,0.8,0.8,1.0
0.0,Object10,Property5,363700,Source1,Object10Property5,0.8,0.8,1.0
0.0,Object10,Property3,144407,Source1,Object10Property3,0.8,0.8,1.0
0.0,Object11,Property5,255423,Source1,Object11Property5,0.8,0.8,1.0
0.0,Object11,Property3,245606,Source1,Object11Property3,0.8,0.8,1.0
0.0,Object12,Property5,213675,Source1,Object12Property5,0.8,0.8,1.0
0.0,Object12,Property3,301634,Source1,Object12Property3,0.8,0.8,1.0
0.0,Object13,Property5,128810,Source1,Object13Property5,0.8,0.8,1.0
0.0,Object13,Property3,202361,Source1,Object13Property3,0.8,0.8,1.0
0.0,Object14,Property5,462936,Source1,Object14Property5,0.8,0.8,1.0
0.0,Object14,Property3,295159,Source1,Object14Property3,0.8,0.8,1.0
0.0,Object15,Property5,476851,Source1,Object15Property5,0.8,0.8,1.0
0.0,Object15,Property3,188287,Source1,Object15Property3,0.8,0.8,1.0
0.0,Object16,Property5,299348,Source1,Object16Property5,0.8,0.8,1.0
0.0,Object16,Property3,206043,Source1,Object16Property3,0.8,0.8,1.0
0.0,Object17,Property5,374795,Source1,Object17Property5,0.8,0.8,1.0
0.0,Object17,Property3,256275,Source1,Object17Property3,0.8,0.8,1.0
0.0,Object18,Property5,141740,Source1,Object18Property5,0.8,0.8,1.0
0.0,Object18,Property3,417233,Source1,Object18Property3,0.8,0.8,1.0
0.0,Object19,Property5,368104,Source1,Object19Property5,0.8,0.8,1.0
0.0,Object19,Property3,305918,Source1,Object19Property3,0.8,0.8,1.0
0.0,Object20,Property5,276028,Source1,Object20Property5,0.8,0.8,1.0
0.0,Object20,Property3,471219,Source1,Object20Property3,0.8,0.8,1.0
0.0,Object21,Property5,148088,Source1,Object21Property5,0.8,0.8,1.0
0.0,Object21,Property3,106681,Source1,Object21Property3,0.8,0.8,1.0
0.0,Object22,Property5,187280,Source1,Object22Property5,0.8,0.8,1.0
0.0,Object22,Property3,104702,Source1,Object22Property3,0.8,0.8,1.0
0.0,Object23,Property5,488482,Source1,Object23Property5,0.8,0.8,1.0
0.0,Object23,Property3,104051,Source1,Object23Property3,0.8,0.8,1.0
0.0,Object24,Property5,210584,Source1,Object24Property5,0.8,0.8,1.0
0.0,Object24,Property3,159937,Source1,Object24Property3,0.8,0.8,1.0
0.0,Object25,Property5,294092,Source1,Object25Property5,0.8,0.8,1.0
0.0,Object25,Property3,131822,Source1,Object25Property3,0.8,0.8,1.0
0.0,Object26,Property5,200745,Source1,Object26Property5,0.8,0.8,1.0
0.0,Object26,Property3,154453,Source1,Object26Property3,0.8,0.8,1.0
0.0,Object27,Property5,498108,Source1,Object27Property5,0.8,0.8,1.0
0.0,Object27,Property3,405248,Source1,Object27Property3,0.8,0.8,1.0
0.0,Object28,Property5,287385,Source1,Object28Property5,0.8,0.8,1.0
0.0,Object28,Property3,449582,Source1,Object28Property3,0.8,0.8,1.0
0.0,Object29,Property5,416600,Source1,Object29Property5,0.8,0.8,1.0
0.0,Object29,Property3,147683,Source1,Object29Property3,0.8,0.8,1.0
0.0,Object30,Property5,451200,Source1,Object30Property5,0.8,0.8,1.0
0.0,Object30,Property3,286876,Source1,Object30Property3,0.8,0.8,1.0
0.0,Object31,Property5,273545,Source1,Object31Property5,0.8,0.8,1.0
0.0,Object31,Property3,190993,Source1,Object31Property3,0.8,0.8,1.0
0.0,Object32,Property5,360063,Source1,Object32Property5,0.8,0.8,1.0
0.0,Object32,Property3,206541,Source1,Object32Property3,0.8,0.8,1.0
0.0,Object33,Property5,199372,Source1,Object33Property5,0.8,0.8,1.0
0.0,Object33,Property3,130149,Source1,Object33Property3,0.8,0.8,1.0
0.0,Object34,Property5,463697,Source1,Object34Property5,0.8,0.8,1.0
0.0,Object34,Property3,151253,Source1,Object34Property3,0.8,0.8,1.0
0.0,Object35,Property5,483026,Source1,Object35Property5,0.8,0.8,1.0
0.0,Object35,Property3,193286,Source1,Object35Property3,0.8,0.8,1.0
0.0,Object36,Property5,233755,Source1,Object36Property5,0.8,0.8,1.0
0.0,Object36,Property3,116930,Source1,Object36Property3,0.8,0.8,1.0
0.0,Object37,Property5,234200,Source1,Object37Property5,0.8,0.8,1.0
0.0,Object37,Property3,402430,Source1,Object37Property3,0.8,0.8,1.0
0.0,Object38,Property5,445539,Source1,Object38Property5,0.8,0.8,1.0
0.0,Object38,Property3,449161,Source1,Object38Property3,0.8,0.8,1.0
0.0,Object39,Property5,102502,Source1,Object39Property5,0.8,0.8,1.0
0.0,Object39,Property3,187266,Source1,Object39Property3,0.8,0.8,1.0
0.0,Object40,Property5,282739,Source1,Object40Property5,0.8,0.8,1.0
0.0,Object40,Property3,393794,Source1,Object40Property3,0.8,0.8,1.0
0.0,Object41,Property5,121564,Source1,Object41Property5,0.8,0.8,1.0
0.0,Object41,Property3,457985,Source1,Object41Property3,0.8,0.8,1.0
0.0,Object42,Property5,252913,Source1,Object42Property5,0.8,0.8,1.0
0.0,Object42,Property3,146695,Source1,Object42Property3,0.8,0.8,1.0
0.0,Object43,Property5,372467,Source1,Object43Property5,0.8,0.8,1.0
0.0,Object43,Property3,318375,Source1,Object43Property3,0.8,0.8,1.0
0.0,Object44,Property5,311372,Source1,Object44Property5,0.8,0.8,1.0
0.0,Object44,Property3,375537,Source1,Object44Property3,0.8,0.8,1.0
0.0,Object45,Property5,384345,Source1,Object45Property5,0.8,0.8,1.0
0.0,Object45,Property3,428376,Source1,Object45Property3,0.8,0.8,1.0
