ID,Object,Property,Value,Source,ObjectProperty
0.0,Object1,Property2,499421,Source1,Object1Property2
0.0,Object1,Property5,253583,Source1,Object1Property5
0.0,Object2,Property2,110121,Source1,Object2Property2
0.0,Object2,Property5,194852,Source1,Object2Property5
0.0,Object3,Property2,294665,Source1,Object3Property2
0.0,Object3,Property5,108190,Source1,Object3Property5
0.0,Object4,Property2,373492,Source1,Object4Property2
0.0,Object4,Property5,428321,Source1,Object4Property5
0.0,Object5,Property2,487367,Source1,Object5Property2
0.0,Object5,Property5,374360,Source1,Object5Property5
0.0,Object6,Property2,156549,Source1,Object6Property2
0.0,Object6,Property5,272488,Source1,Object6Property5
0.0,Object7,Property2,193760,Source1,Object7Property2
0.0,Object7,Property5,366016,Source1,Object7Property5
0.0,Object8,Property2,284221,Source1,Object8Property2
0.0,Object8,Property5,472594,Source1,Object8Property5
0.0,Object9,Property2,241670,Source1,Object9Property2
0.0,Object9,Property5,348110,Source1,Object9Property5
0.0,Object10,Property2,444272,Source1,Object10Property2
0.0,Object10,Property5,317353,Source1,Object10Property5
0.0,Object11,Property2,384510,Source1,Object11Property2
0.0,Object11,Property5,147286,Source1,Object11Property5
0.0,Object12,Property2,231770,Source1,Object12Property2
0.0,Object12,Property5,442308,Source1,Object12Property5
0.0,Object13,Property2,399002,Source1,Object13Property2
0.0,Object13,Property5,263529,Source1,Object13Property5
0.0,Object14,Property2,337513,Source1,Object14Property2
0.0,Object14,Property5,160878,Source1,Object14Property5
0.0,Object15,Property2,279517,Source1,Object15Property2
0.0,Object15,Property5,410104,Source1,Object15Property5
0.0,Object16,Property2,349354,Source1,Object16Property2
0.0,Object16,Property5,322493,Source1,Object16Property5
0.0,Object17,Property2,419566,Source1,Object17Property2
0.0,Object17,Property5,197781,Source1,Object17Property5
0.0,Object18,Property2,458439,Source1,Object18Property2
0.0,Object18,Property5,142040,Source1,Object18Property5
0.0,Object19,Property2,217767,Source1,Object19Property2
0.0,Object19,Property5,327039,Source1,Object19Property5
0.0,Object20,Property2,235748,Source1,Object20Property2
0.0,Object20,Property5,103036,Source1,Object20Property5
0.0,Object21,Property2,103620,Source1,Object21Property2
0.0,Object21,Property5,319564,Source1,Object21Property5
0.0,Object22,Property2,226852,Source1,Object22Property2
0.0,Object22,Property5,398584,Source1,Object22Property5
0.0,Object23,Property2,137848,Source1,Object23Property2
0.0,Object23,Property5,443879,Source1,Object23Property5
0.0,Object24,Property2,244346,Source1,Object24Property2
0.0,Object24,Property5,411571,Source1,Object24Property5
0.0,Object25,Property2,110884,Source1,Object25Property2
0.0,Object25,Property5,204538,Source1,Object25Property5
0.0,Object26,Property2,347679,Source1,Object26Property2
0.0,Object26,Property5,109654,Source1,Object26Property5
0.0,Object27,Property2,263731,Source1,Object27Property2
0.0,Object27,Property5,224602,Source1,Object27Property5
0.0,Object28,Property2,235493,Source1,Object28Property2
0.0,Object28,Property5,336461,Source1,Object28Property5
0.0,Object29,Property2,493297,Source1,Object29Property2
0.0,Object29,Property5,422522,Source1,Object29Property5
0.0,Object30,Property2,270401,Source1,Object30Property2
0.0,Object30,Property5,279238,Source1,Object30Property5
0.0,Object31,Property2,197883,Source1,Object31Property2
0.0,Object31,Property5,429842,Source1,Object31Property5
0.0,Object32,Property2,230567,Source1,Object32Property2
0.0,Object32,Property5,270623,Source1,Object32Property5
0.0,Object33,Property2,195637,Source1,Object33Property2
0.0,Object33,Property5,294169,Source1,Object33Property5
0.0,Object34,Property2,318270,Source1,Object34Property2
0.0,Object34,Property5,323373,Source1,Object34Property5
0.0,Object35,Property2,238142,Source1,Object35Property2
0.0,Object35,Property5,225681,Source1,Object35Property5
0.0,Object36,Property2,472571,Source1,Object36Property2
0.0,Object36,Property5,325403,Source1,Object36Property5
0.0,Object37,Property2,472228,Source1,Object37Property2
0.0,Object37,Property5,283657,Source1,Object37Property5
0.0,Object38,Property2,191721,Source1,Object38Property2
0.0,Object38,Property5,421487,Source1,Object38Property5
0.0,Object39,Property2,170433,Source1,Object39Property2
0.0,Object39,Property5,174820,Source1,Object39Property5
