Object,Property,Value,False,ObjectProperty
Object1,Property1,383351,"[806145, 860400, 995725, 507024, 981202, 614458, 761441, 744092, 884550, 929614, 571431, 720936, 777706, 671111, 602546, 789511, 688608, 725645, 802523, 823749]",Object1Property1
Object1,Property2,499421,"[667924, 903972, 574520, 999636, 595561, 725551, 869665, 700420, 746966, 979864, 971025, 630061, 724389, 683359, 638905, 930993, 849819, 989472, 753545, 658797]",Object1Property2
Object1,Property3,197611,"[505655, 554440, 938792, 721397, 864171, 729727, 614429, 771105, 571494, 851707, 829945, 732035, 620844, 629956, 668322, 519726, 943725, 775271, 789811, 888548]",Object1Property3
Object1,Property4,233660,"[771683, 894613, 782523, 809337, 705750, 739578, 795824, 652534, 613636, 973242, 891541, 768140, 580940, 799511, 806337, 746756, 623824, 860838, 740620, 510149]",Object1Property4
Object1,Property5,253583,"[840100, 962844, 821533, 927273, 503186, 638925, 612746, 740382, 920794, 680988, 731095, 805204, 670283, 677061, 933068, 625170, 624439, 947131, 671114, 787780]",Object1Property5
Object1,Property6,425638,"[642384, 776436, 739868, 572759, 649062, 565628, 840302, 617517, 895097, 745840, 551675, 876855, 510149, 519011, 503537, 518980, 796655, 908985, 771783, 915260]",Object1Property6
Object2,Property1,433877,"[962677, 869172, 892147, 595717, 745117, 966620, 555937, 604976, 639315, 574563, 545532, 986470, 997106, 998473, 913828, 947195, 856389, 577809, 828623, 867221]",Object2Property1
Object2,Property2,110121,"[648526, 727229, 512141, 615696, 603492, 707716, 857922, 695813, 698013, 882620, 829545, 875612, 806671, 516275, 583502, 772113, 601643, 768226, 675663, 613207]",Object2Property2
Object2,Property3,434688,"[991314, 570721, 794123, 844567, 868709, 942287, 972169, 660950, 671630, 555429, 688490, 673427, 601751, 688034, 665914, 503097, 636148, 572121, 835772, 864890]",Object2Property3
Object2,Property4,282565,"[557998, 580006, 685596, 609597, 683841, 510389, 947237, 942777, 862688, 743569, 627264, 689105, 741495, 979026, 806651, 941517, 612497, 905880, 944769, 920734]",Object2Property4
Object2,Property5,194852,"[893157, 851586, 520423, 584544, 666293, 615880, 692548, 587603, 673753, 877551, 802269, 731313, 658732, 927474, 877758, 981859, 734162, 842322, 810363, 742376]",Object2Property5
Object2,Property6,454854,"[636468, 835069, 886851, 796357, 595451, 993708, 540582, 504925, 578903, 745857, 724141, 767377, 920684, 530329, 868099, 661444, 761029, 766718, 777544, 746941]",Object2Property6
Object3,Property1,483025,"[880751, 944224, 506295, 795849, 710289, 502551, 879840, 653940, 591435, 821461, 948444, 617981, 825105, 878197, 839296, 621930, 682471, 997538, 984722, 589035]",Object3Property1
Object3,Property2,294665,"[611353, 537520, 652294, 729933, 691983, 622338, 932221, 807782, 760666, 909950, 953508, 747640, 999412, 752874, 742107, 804259, 556431, 766608, 887852, 557496]",Object3Property2
Object3,Property3,223555,"[517262, 727751, 594959, 641726, 593888, 689951, 798644, 527626, 786965, 610678, 926124, 806295, 580973, 997240, 724601, 850085, 733089, 634501, 655185, 649574]",Object3Property3
Object3,Property4,213153,"[578750, 782610, 706919, 936601, 576319, 835740, 704042, 911743, 904278, 779643, 957944, 782023, 713357, 741610, 661799, 754377, 965091, 622184, 931030, 900354]",Object3Property4
Object3,Property5,108190,"[855851, 569160, 933275, 847235, 893564, 727817, 504774, 881876, 903073, 588260, 989068, 818178, 594792, 651783, 588225, 910276, 734913, 819922, 843276, 678818]",Object3Property5
Object3,Property6,244526,"[849751, 997750, 815938, 708264, 733676, 642106, 835292, 769243, 762370, 934391, 622343, 755580, 931248, 883932, 896016, 900285, 583520, 977095, 754935, 892828]",Object3Property6
Object4,Property1,258138,"[876393, 647429, 807145, 665364, 861783, 692762, 667572, 803997, 768472, 847725, 686658, 858522, 879442, 742558, 752272, 719381, 782301, 638093, 504465, 768602]",Object4Property1
